X,Y,Z,azimuth,dip,polarity,formation
2000,13125,-1200,0,310,1,CAMBURI_SUP
2000,14375,-800,0,30,1,CAMBURI_SUP
2000,13125,-1950,0,310,1,CAMBURI_INF
2000,14375,-1550,0,30,1,CAMBURI_INF
2000,12500,-3750,0,0,1,ARIRI
2000,13325,-2400,0,310,1,ARIRI
2000,13750,-400,0,0,1,ARIRI
2000,14350,-2400,0,45,1,ARIRI
2000,15000,-4600,0,0,1,ARIRI
2000,5000,-1050,0,0,1,CAMBURI_SUP
2000,5000,-2850,0,0,1,CAMBURI_INF
2000,5000,-4300,0,0,1,ARIRI
2000,5000,-4825,0,0,1,BV_SUP
2000,5000,-4850,0,0,1,BV_INF
2000,5000,-5250,0,0,1,ITAPEMA
2000,5000,-6550,0,0,1,CAMBORIU
2000,17500,-1050,0,0,1,CAMBURI_SUP
2000,17500,-1950,0,0,1,CAMBURI_INF
2000,17500,-4700,0,0,1,ARIRI
2000,17500,-5550,0,0,1,BV_SUP
2000,17500,-6050,0,0,1,BV_INF
2000,17500,-7350,0,0,1,ITAPEMA
2000,17500,-8450,0,0,1,CAMBORIU
