X,Y,Z,azimuth,dip,polarity,formation
30007.0,15048.0,-2133.755,0,0,1,sea_floor
30007.0,15048.0,-2321.01,0,0,1,h1
30007.0,15048.0,-2682.36,0,0,1,h2
30007.0,15048.0,-2840.93,0,0,1,h3
30007.0,15048.0,-2950.03,0,0,1,h4
25002.0,17505.0,-2118.38,0,0,1,sea_floor
25002.0,17505.0,-2169.95,0,0,1,h1
25002.0,17505.0,-2521.98,0,0,1,h2
25002.0,17505.0,-2755.25,0,0,1,h3
25002.0,17505.0,-2902.43,0,0,1,h4
15007.0,22416.0,-1668.79,0,0,1,sea_floor
15007.0,22416.0,-1842.37,0,0,1,h1
15007.0,22416.0,-2184.54,0,0,1,h2
15007.0,22416.0,-2368.17,0,0,1,h3
15007.0,22416.0,-2574.96,0,0,1,h4
